#######################,###### LOG FILE #######,#######################
2008-09-26 13:29:42
#######################,#######################,#######################
Idade:, 25
Altura:, 1.64
Peso:, 60
Sexo:, Feminino
Actividade:, Cair para a esquerda
#######################,#######################,#######################

X,Y,Z
101,514,473
345,520,474
344,523,472
339,518,473
342,518,476
343,521,473
341,521,474
347,526,470
343,524,472
346,523,475
346,526,477
350,531,470
349,522,470
363,518,471
352,551,462
375,511,474
393,464,493
491,588,512
424,411,44
494,780,421
493,664,467
578,585,443
651,443,502
615,863,351
529,652,467
490,541,359
521,557,357
516,516,351
504,391,378
573,517,338
587,495,321
538,585,384
547,484,347
552,517,356
565,516,368
577,510,360
563,532,372
559,514,364
571,510,364
549,522,356
565,521,363
