#######################,###### LOG FILE #######,#######################
2008-09-26 13:39:26
#######################,#######################,#######################
Idade:, 31
Altura:, 1.74
Peso:, 72
Sexo:, Masculino
Actividade:, Levantar depois de Deitar
#######################,#######################,#######################

X,Y,Z
96,393,497
405,400,501
398,420,495
391,415,495
386,414,499
376,432,491
365,434,499
319,429,527
331,393,500
413,404,499
391,435,479
360,484,495
394,534,521
389,351,490
335,401,457
338,440,475
373,415,440
402,428,467
403,434,469
398,447,467
362,456,444
309,466,431
324,496,426
304,501,433
354,528,460
360,532,459
359,544,452
361,553,466
368,553,462
372,534,461
375,559,481
394,588,494
363,555,483
304,629,515
338,567,490
367,567,486
341,572,504
344,560,492
333,559,489
350,561,489
