#######################,###### LOG FILE #######,#######################
2008-09-26 14:07:10
#######################,#######################,#######################
Idade:, 32
Altura:, 1.59
Peso:, 50
Sexo:, Feminino
Actividade:, Caminhar
#######################,#######################,#######################

X,Y,Z
94,531,568
365,406,510
332,555,516
439,454,477
411,490,439
213,555,449
285,463,463
409,464,504
307,419,442
297,511,488
295,570,570
301,392,497
496,400,499
345,519,466
347,408,581
432,553,582
350,484,495
325,520,463
393,577,491
277,513,460
236,357,554
307,609,595
452,475,512
455,462,498
319,562,589
370,419,506
310,428,417
407,592,547
381,542,459
317,531,471
283,618,662
250,580,617
211,511,694
388,524,711
272,262,305
386,500,478
412,494,431
314,402,365
320,445,515
415,561,512
329,491,460
378,477,478
380,575,498
325,459,460
279,507,584
346,573,553
439,456,496
463,466,469
185,583,458
290,454,507
377,477,499
328,428,455
356,578,504
361,514,465
352,579,510
276,449,458
368,672,643
193,529,453
303,439,562
361,525,525
426,427,465
345,571,510
388,531,476
341,533,466
351,534,522
451,501,485
424,508,448
212,520,358
299,393,529
357,581,559
405,432,460
282,612,492
345,495,489
220,483,543
298,419,494
450,438,500
345,489,462
85,226,635
107,313,881
79,761,906
328,524,632
184,608,544
336,550,484
152,554,470
248,477,555
390,406,508
328,442,443
452,517,519
366,527,435
302,556,426
378,395,534
381,536,537
366,495,476
382,548,478
316,540,454
244,483,522
328,403,490
372,636,559
396,553,474
294,542,436
417,439,434
377,501,491
340,499,479
339,563,500
294,487,571
266,414,418
386,613,526
414,453,439
318,508,444
351,427,445
377,490,495
391,534,514
338,527,476
323,538,469
283,524,589
347,392,486
371,615,503
383,457,454
383,517,465
311,569,432
404,523,556
369,500,522
332,532,457
355,544,477
362,494,464
294,511,628
250,493,455
405,510,477
405,528,461
338,505,496
228,447,481
396,393,597
313,465,663
321,587,634
350,527,523
354,631,526
342,526,474
289,556,470
317,555,600
370,557,532
412,475,472
411,532,434
234,532,427
292,464,537
373,528,571
319,418,441
374,564,486
368,522,476
303,533,471
292,503,618
380,427,475
422,475,457
341,513,454
293,518,427
377,487,520
328,531,473
311,533,466
262,518,515
365,371,475
337,604,544
392,442,456
413,532,481
276,509,435
271,427,545
424,553,564
351,444,471
370,568,485
347,521,482
339,541,481
296,486,618
280,485,410
383,553,500
425,492,460
303,495,433
260,505,454
409,411,459
362,517,529
384,525,508
342,536,466
331,527,478
255,509,470
314,411,538
297,587,545
396,455,467
426,524,466
267,493,450
302,542,527
392,495,539
306,414,427
390,575,496
374,537,501
345,524,481
258,524,544
289,496,559
300,603,688
357,409,641
314,477,585
335,443,524
387,461,480
390,508,449
281,466,491
369,500,534
355,407,472
361,534,535
376,475,460
324,535,484
347,453,459
316,508,586
298,544,532
389,459,473
417,483,476
304,480,403
270,498,435
415,411,465
341,477,494
385,542,509
354,528,468
292,540,487
257,502,525
357,390,456
342,612,539
394,417,461
418,521,452
243,503,384
315,475,548
421,580,581
307,406,435
355,565,486
351,519,489
339,559,483
293,500,608
261,471,407
371,543,501
411,480,466
337,479,417
287,510,419
382,417,445
385,474,496
390,543,516
336,522,451
349,384,453
275,607,530
412,442,456
420,516,452
272,507,417
310,549,532
382,543,506
341,439,470
371,548,476
348,542,500
343,510,470
284,524,557
339,477,510
316,542,540
351,507,547
381,452,510
321,527,475
358,547,420
291,454,505
