#######################,###### LOG FILE #######,#######################
2008-09-26 14:08:10
#######################,#######################,#######################
Idade:, 32
Altura:, 1.59
Peso:, 50
Sexo:, Feminino
Actividade:, Levantar depois de Deitar
#######################,#######################,#######################

X,Y,Z
488,648,402
492,633,405
485,652,411
470,636,399
463,636,405
443,636,408
441,627,407
429,617,400
418,612,407
402,595,405
389,590,407
384,544,402
369,538,418
358,479,414
346,420,436
404,457,427
393,405,433
379,402,443
373,407,462
352,463,465
401,443,480
390,488,497
391,473,477
412,452,476
434,466,466
339,511,427
