#######################,###### LOG FILE #######,#######################
2008-09-26 14:08:30
#######################,#######################,#######################
Idade:, 32
Altura:, 1.59
Peso:, 50
Sexo:, Feminino
Actividade:, Levantar depois de Sentar
#######################,#######################,#######################

X,Y,Z
101,518,380
347,476,373
376,444,406
384,414,421
389,401,448
379,430,459
365,437,462
397,469,483
402,462,491
376,479,490
336,479,478
352,499,476
386,512,485
344,511,471
343,526,478
