#######################,###### LOG FILE #######,#######################
2008-09-26 14:10:00
#######################,#######################,#######################
Idade:, 32
Altura:, 1.59
Peso:, 50
Sexo:, Feminino
Actividade:, Cair para a direita
#######################,#######################,#######################

X,Y,Z
80,527,483
415,568,466
434,690,519
410,636,189
431,541,415
575,461,482
721,547,495
598,439,508
617,500,527
545,396,482
588,362,432
620,421,456
634,406,467
611,432,446
550,398,388
530,491,402
440,523,372
465,604,392
527,550,346
551,557,330
525,558,384
518,543,336
495,552,342
