#######################,###### LOG FILE #######,#######################
2008-09-26 18:13:45
#######################,#######################,#######################
Idade:, 22
Altura:, 1.87
Peso:, 91
Sexo:, Masculino
Actividade:, Sentar
#######################,#######################,#######################

X,Y,Z
447,529,456
254,504,194
383,354,394
443,473,447
406,499,424
370,483,407
409,390,391
406,475,407
376,450,387
394,462,409
401,473,424
404,448,423
393,464,394
381,422,426
379,451,420
354,460,451
346,465,436
407,446,433
379,454,418
385,476,426
379,471,430
370,461,409
368,458,415
379,457,409
379,474,413
371,468,432
376,483,450
364,473,450
374,482,447
369,474,437
389,480,459
376,469,441
388,454,443
371,456,438
