#######################,###### LOG FILE #######,#######################
2008-09-26 19:18:58
#######################,#######################,#######################
Idade:, 34
Altura:, 1.68
Peso:, 72
Sexo:, Masculino
Actividade:, Deitar
#######################,#######################,#######################

X,Y,Z
97,484,571
285,520,439
397,499,448
389,497,443
381,524,400
423,477,325
473,515,356
494,528,364
493,495,358
478,531,347
477,542,333
444,547,361
491,496,371
478,530,331
455,488,343
479,509,340
459,516,348
469,499,350
476,542,340
466,526,329
