#######################,###### LOG FILE #######,#######################
2008-09-29 21:35:38
#######################,#######################,#######################
Idade:, 33
Altura:, 1.60
Peso:, 70
Sexo:, Feminino
Actividade:, Sentar
#######################,#######################,#######################

X,Y,Z
55,509,504
365,559,511
327,556,520
345,577,532
345,570,534
346,571,531
328,566,533
326,559,508
334,546,505
340,545,503
330,539,495
354,524,473
333,525,456
344,525,456
349,509,449
354,504,446
355,507,452
347,514,446
356,504,446
348,501,429
348,507,440
360,512,452
349,512,452
347,519,448
354,520,449
346,523,447
360,518,444
337,507,447
354,520,460
339,534,458
363,546,443
362,541,437
362,525,423
358,528,446
339,508,449
360,531,449
355,535,451
354,536,447
348,522,442
341,535,446
