#######################,###### LOG FILE #######,#######################
2008-09-29 21:37:24
#######################,#######################,#######################
Idade:, 33
Altura:, 1.60
Peso:, 70
Sexo:, Feminino
Actividade:, Cair para tras
#######################,#######################,#######################

X,Y,Z
81,563,472
385,601,478
382,583,489
357,592,486
335,396,473
419,432,491
467,314,401
565,265,459
523,419,470
542,412,443
490,353,438
506,386,444
475,397,451
469,377,447
465,385,453
451,399,480
458,381,485
467,373,479
460,394,475
451,384,482
452,375,487
446,371,493
455,389,484
465,380,483
439,372,476
466,382,501
451,387,498
433,379,495
458,382,493
445,384,500
440,370,496
