#######################,###### LOG FILE #######,#######################
2008-09-30 20:19:47
#######################,#######################,#######################
Idade:, 12
Altura:, 1.56
Peso:, 55
Sexo:, Masculino
Actividade:, Cair para a direita
#######################,#######################,#######################

X,Y,Z
79,507,567
359,551,572
382,538,570
406,527,563
377,483,491
419,539,560
464,650,672
582,842,153
634,501,398
490,664,351
424,678,443
482,627,458
440,670,523
388,721,569
395,576,547
395,375,362
517,689,579
433,677,553
422,638,527
427,697,512
415,628,523
405,646,471
435,645,450
473,635,446
427,641,418
460,571,400
