#######################,###### LOG FILE #######,#######################
2008-09-30 20:20:08
#######################,#######################,#######################
Idade:, 12
Altura:, 1.56
Peso:, 55
Sexo:, Masculino
Actividade:, Caminhar
#######################,#######################,#######################

X,Y,Z
81,470,539
373,548,564
361,548,547
354,552,548
286,537,526
346,554,588
346,517,581
361,562,585
375,483,556
352,538,540
357,512,533
297,505,527
317,499,613
392,609,608
350,488,569
377,546,547
363,546,527
319,587,575
328,529,548
348,532,639
392,578,633
355,428,507
351,543,553
358,546,586
255,456,496
340,562,626
293,585,550
375,503,554
388,590,561
349,546,523
298,520,547
319,639,639
360,456,599
369,558,591
386,517,635
330,505,572
383,446,519
338,482,539
328,500,578
366,459,618
307,502,525
402,551,567
371,479,538
356,543,537
243,493,435
355,584,647
386,435,558
352,567,559
383,525,510
356,524,545
315,524,568
306,534,609
376,518,556
352,505,585
401,565,555
365,555,530
307,573,565
294,516,559
378,558,601
315,537,554
371,528,537
367,548,548
325,589,604
396,539,567
348,534,523
307,526,542
322,571,589
366,554,626
425,491,574
353,500,533
332,507,523
363,508,645
326,541,566
390,528,569
353,535,550
355,535,529
341,549,572
375,527,614
354,509,550
344,507,533
350,512,518
359,494,570
290,488,563
399,510,625
304,531,569
405,552,558
335,502,531
358,540,581
284,529,559
387,525,680
288,479,591
436,524,573
