#######################,###### LOG FILE #######,#######################
2008-10-02 19:47:38
#######################,#######################,#######################
Idade:, 32
Altura:, 1.66
Peso:, 66
Sexo:, Masculino
Actividade:, Cair para a esquerda
#######################,#######################,#######################

X,Y,Z
87,416,380
319,489,454
507,383,102
219,588,274
761,606,494
661,616,561
629,532,330
651,662,409
565,592,407
578,620,375
555,606,405
516,620,364
437,529,349
503,590,371
511,540,320
498,515,320
437,560,389
530,557,366
448,606,369
473,550,358
481,573,348
503,549,352
488,573,350
479,570,355
