#######################,###### LOG FILE #######,#######################
2008-10-02 19:48:20
#######################,#######################,#######################
Idade:, 32
Altura:, 1.66
Peso:, 66
Sexo:, Masculino
Actividade:, Correr
#######################,#######################,#######################

X,Y,Z
96,541,562
0,431,316
576,563,561
360,696,630
361,465,532
319,565,443
519,509,516
156,561,660
412,495,529
478,455,487
371,835,809
361,726,684
363,433,365
452,569,568
104,471,589
356,594,589
515,457,526
217,739,778
294,456,620
296,508,556
490,485,479
78,704,612
290,486,501
606,552,562
394,631,585
94,369,625
266,530,442
509,503,487
360,702,686
241,353,485
648,629,644
506,539,566
91,405,648
252,548,478
441,544,594
32,374,551
442,573,573
664,636,519
0,256,0
504,493,537
42,579,394
402,525,517
427,468,501
213,646,506
333,541,591
417,558,611
396,503,478
484,545,561
278,415,465
336,569,533
549,523,519
0,316,167
407,570,587
552,541,606
221,796,622
185,381,396
318,606,522
564,495,539
0,921,347
471,392,407
653,556,461
198,721,832
337,588,505
408,537,417
456,586,552
0,661,606
499,420,486
473,462,440
517,540,292
210,476,418
356,487,458
467,525,541
430,682,707
392,430,428
458,424,460
203,850,570
207,471,660
287,584,529
499,525,527
127,765,546
369,501,485
610,533,535
387,575,391
206,318,541
278,616,536
542,484,494
307,754,545
333,377,390
628,589,534
471,615,556
3,368,699
417,551,594
469,594,645
199,489,533
504,625,607
0,556,660
259,728,680
481,443,579
463,666,543
487,481,504
335,417,368
462,669,629
281,502,622
274,414,447
430,575,526
418,556,566
178,474,446
511,559,528
444,469,549
226,501,406
153,397,396
415,598,583
429,597,651
512,626,612
532,565,620
31,312,74
276,521,493
326,576,574
523,514,544
0,889,216
379,339,344
638,654,581
318,562,588
355,474,489
227,517,329
496,532,560
0,666,371
368,498,495
472,473,622
464,510,469
258,573,478
242,396,462
379,599,667
54,558,452
422,567,438
557,442,489
470,662,610
233,435,494
392,590,545
283,534,390
213,506,363
508,486,535
495,548,578
215,460,340
168,473,403
985,1022,1022
424,841,632
188,568,482
486,447,544
462,543,505
27,618,549
329,567,432
