#######################,###### LOG FILE #######,#######################
2008-10-03 15:10:58
#######################,#######################,#######################
Idade:, 31
Altura:, 1.83
Peso:, 80
Sexo:, Masculino
Actividade:, Cair para tras
#######################,#######################,#######################

X,Y,Z
83,482,506
329,497,511
347,500,508
342,499,520
340,500,501
351,503,509
343,496,508
341,489,514
341,493,511
340,495,513
343,499,512
331,498,525
342,485,525
350,494,526
341,492,510
345,486,509
327,492,504
355,487,510
350,504,503
339,498,505
343,498,499
363,502,504
390,500,497
421,519,492
427,516,447
426,543,458
444,659,0
516,556,448
603,498,449
594,600,482
576,592,464
592,569,476
604,610,420
497,626,280
526,530,364
359,527,263
520,536,463
424,609,348
464,585,353
527,579,357
506,583,390
481,563,350
504,576,353
491,575,371
465,580,354
477,577,355
484,576,350
493,580,351
485,581,355
489,574,358
478,583,361
483,590,365
491,574,351
487,572,358
489,577,354
488,581,355
