#######################,###### LOG FILE #######,#######################
2008-10-06 09:12:44
#######################,#######################,#######################
Idade:, 26
Altura:, 1.80
Peso:, 70
Sexo:, Masculino
Actividade:, Cair para a frente
#######################,#######################,#######################

X,Y,Z
102,497,517
354,511,511
373,537,478
409,504,518
416,516,500
416,528,503
287,481,648
121,559,433
403,589,437
439,494,512
347,477,535
385,502,576
430,421,588
442,416,582
580,300,1016
498,392,777
520,355,666
501,474,608
502,449,654
492,464,618
491,438,687
498,462,640
496,444,649
443,426,676
519,468,638
498,449,649
491,449,653
494,451,651
496,449,644
496,446,651
494,447,651
494,449,650
495,449,652
493,452,649
498,450,648
486,448,646
487,447,648
