#######################,###### LOG FILE #######,#######################
2008-11-20 15:39:17
#######################,#######################,#######################
Idade:, 22
Altura:, 1.87
Peso:, 85
Sexo:, Masculino
Actividade:, Levantar depois de Sentar
#######################,#######################,#######################

X,Y,Z
99,505,423
363,526,420
351,535,435
311,482,490
326,485,514
338,480,537
341,485,546
342,486,537
352,489,512
367,494,476
334,513,525
357,509,522
346,517,538
351,521,534
342,522,541
344,520,534
340,530,540
340,525,526
342,530,537
344,522,526
335,525,527
339,522,532
343,520,524
335,527,530
333,508,534
331,524,465
333,524,510
330,537,519
343,522,522
