#######################,###### LOG FILE #######,#######################
2008-11-20 16:34:52
#######################,#######################,#######################
Idade:, 24
Altura:, 1.64
Peso:, 60
Sexo:, Feminino
Actividade:, Correr
#######################,#######################,#######################

X,Y,Z
417,453,560
265,570,508
290,588,558
443,441,511
334,444,381
375,493,455
513,495,506
488,526,541
0,861,0
402,578,526
451,441,553
330,618,467
356,515,539
491,512,517
449,529,591
56,402,165
424,578,620
437,444,582
53,292,146
447,497,535
483,521,522
390,425,626
70,508,24
440,470,431
451,479,577
472,518,549
379,432,549
395,494,680
