#######################,###### LOG FILE #######,#######################
2009-01-15 17:13:25
#######################,#######################,#######################
Idade:, 47
Altura:, 47
Peso:, 70
Sexo:, Masculino
Actividade:, Deitar
#######################,#######################,#######################

X,Y,Z
90,542,422
430,583,439
403,584,399
410,579,394
403,588,396
421,577,380
441,564,366
471,568,365
489,551,358
565,495,338
547,498,380
549,453,345
493,474,362
497,455,397
492,382,379
482,405,397
494,372,417
485,365,424
465,393,458
462,390,447
486,385,441
455,382,424
464,406,437
460,399,428
463,398,432
465,393,436
462,394,435
461,397,431
466,394,432
465,393,434
462,395,435
461,398,434
468,395,437
457,386,423
457,398,431
517,371,469
439,389,435
434,413,441
449,401,434
442,398,433
456,393,418
461,405,409
425,400,428
437,403,398
