#######################,###### LOG FILE #######,#######################
2009-01-15 17:24:26
#######################,#######################,#######################
Idade:, 47
Altura:, 47
Peso:, 70
Sexo:, Masculino
Actividade:, Levantar depois de Sentar
#######################,#######################,#######################

X,Y,Z
56,525,496
351,563,500
347,560,504
309,562,487
344,535,509
347,561,496
338,559,489
351,555,483
349,548,482
342,557,487
351,552,487
339,553,487
346,558,485
347,559,491
343,560,492
348,572,494
355,565,489
349,568,487
352,580,495
353,579,504
353,582,513
356,584,507
366,594,500
370,589,484
345,612,474
379,600,466
388,604,457
417,605,445
416,623,430
425,617,417
431,531,376
421,526,361
415,533,400
416,500,372
412,502,364
422,502,362
423,506,375
421,509,368
