#######################,###### LOG FILE #######,#######################
2009-01-15 17:53:55
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 51
Sexo:, Feminino
Actividade:, Deitar
#######################,#######################,#######################

X,Y,Z
97,536,554
361,588,555
367,576,547
294,563,503
411,542,370
507,485,361
515,429,304
452,479,375
476,449,384
466,492,308
428,497,375
446,472,372
470,499,369
460,483,351
458,491,362
458,491,349
461,500,343
454,487,347
