#######################,###### LOG FILE #######,#######################
2009-01-15 18:02:22
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 65
Sexo:, Feminino
Actividade:, Sentar
#######################,#######################,#######################

X,Y,Z
79,521,482
390,584,487
369,576,459
347,612,454
377,625,451
376,608,458
381,619,452
365,613,442
368,599,421
369,582,401
377,553,407
373,531,393
385,525,392
385,527,393
387,527,395
385,529,393
386,527,394
383,527,393
391,526,394
369,530,384
384,531,393
378,520,401
383,518,392
394,501,416
378,536,399
371,529,377
379,530,387
391,521,398
373,532,394
359,516,398
