#######################,###### LOG FILE #######,#######################
2009-01-15 18:05:31
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 48
Sexo:, Feminino
Actividade:, Levantar depois de Sentar
#######################,#######################,#######################

X,Y,Z
103,531,463
344,540,470
340,536,466
336,552,464
326,572,465
340,619,479
334,605,482
360,580,489
374,579,498
366,560,496
395,567,505
313,578,502
342,524,488
395,544,490
344,569,467
356,553,476
340,551,478
328,548,468
321,540,477
