#######################,###### LOG FILE #######,#######################
2009-01-22 17:18:25
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 60
Sexo:, Feminino
Actividade:, Cair para tras
#######################,#######################,#######################

X,Y,Z
89,506,532
368,536,519
403,544,510
418,525,498
386,498,351
364,453,239
416,345,165
549,476,351
455,511,400
537,511,427
452,507,314
467,493,355
405,542,404
426,542,370
439,526,355
455,506,339
458,511,339
