#######################,###### LOG FILE #######,#######################
2009-01-22 17:47:23
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 50
Sexo:, Feminino
Actividade:, Cair para a esquerda
#######################,#######################,#######################

X,Y,Z
88,487,443
433,496,493
501,449,446
424,570,373
558,328,268
569,77,225
534,536,465
503,480,439
437,486,332
468,500,364
485,413,257
513,430,314
514,507,379
522,473,356
529,442,354
508,458,357
485,456,374
506,487,343
518,476,359
514,457,347
508,505,368
521,478,355
501,478,353
507,474,345
535,499,387
504,477,353
516,494,346
532,504,361
530,524,369
538,448,341
447,548,318
503,508,351
