#######################,###### LOG FILE #######,#######################
2009-01-22 17:48:54
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 56
Sexo:, Feminino
Actividade:, Caminhar
#######################,#######################,#######################

X,Y,Z
94,516,472
324,517,443
287,613,454
419,538,480
356,624,504
340,556,485
350,515,478
333,555,506
267,590,503
344,552,469
313,515,496
369,505,484
398,515,484
238,618,487
328,630,511
372,509,490
400,551,504
315,498,493
356,519,487
258,527,460
402,605,550
307,482,476
386,526,481
365,536,477
286,581,474
340,569,504
365,481,452
378,545,458
322,571,495
353,451,481
294,590,521
376,601,527
309,510,502
321,502,461
380,505,517
346,564,501
277,573,510
356,562,539
375,572,549
344,556,528
304,553,534
397,597,522
245,491,446
367,525,543
369,570,520
369,523,479
289,583,507
407,484,474
317,578,434
354,561,506
354,525,493
311,457,489
206,595,489
389,523,516
361,513,475
305,515,489
319,479,478
354,590,496
335,588,474
382,555,510
355,480,490
352,477,495
317,609,502
254,617,541
358,483,495
372,529,490
365,521,470
313,526,470
389,552,487
324,599,496
383,541,525
322,489,494
345,481,479
299,651,538
365,579,517
319,485,497
355,571,486
386,509,482
282,567,490
325,588,500
336,575,464
329,552,495
357,544,508
357,491,476
327,590,514
385,547,515
284,551,496
332,506,463
380,532,508
314,540,475
213,608,536
359,511,534
362,557,534
329,544,534
339,555,559
381,587,581
445,490,532
341,538,498
346,543,510
355,530,496
333,524,510
