#######################,###### LOG FILE #######,#######################
2009-01-22 17:53:54
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 53
Sexo:, Masculino
Actividade:, Sentar
#######################,#######################,#######################

X,Y,Z
86,529,515
407,546,514
365,546,506
330,588,465
352,601,459
333,588,448
294,559,423
357,520,436
342,557,447
342,544,438
344,489,432
352,499,425
347,516,435
349,527,426
365,520,434
372,506,440
365,506,441
375,517,440
359,512,442
377,508,425
353,510,441
361,519,443
351,507,423
366,493,432
349,505,438
351,517,434
359,509,423
371,499,434
345,530,442
351,504,440
376,511,425
358,515,443
372,520,441
365,516,435
358,509,436
366,515,431
361,514,437
354,516,438
365,516,433
353,514,438
368,511,437
366,520,434
355,506,433
370,511,422
371,552,434
352,548,444
371,478,449
353,522,443
330,520,416
344,519,452
372,534,427
384,555,438
348,537,437
341,517,448
337,500,438
352,571,458
382,571,473
355,566,466
344,557,449
346,555,445
349,561,443
350,558,450
368,546,433
347,558,448
350,540,437
357,552,444
358,542,432
359,548,441
355,546,451
