#######################,###### LOG FILE #######,#######################
2009-01-22 18:07:38
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 68
Sexo:, Masculino
Actividade:, Correr
#######################,#######################,#######################

X,Y,Z
99,590,500
299,438,415
508,624,546
288,719,487
257,528,323
499,512,539
443,567,504
307,573,425
283,486,398
452,611,514
492,551,495
100,546,343
379,633,458
87,837,580
191,570,361
356,599,477
107,652,423
241,538,391
448,484,493
481,572,478
354,548,406
308,539,424
447,576,497
289,623,459
297,555,393
447,610,433
531,470,525
125,631,441
183,492,394
372,553,450
459,512,478
311,635,475
255,584,345
351,536,371
509,585,531
206,794,556
221,616,463
325,458,406
433,395,412
283,645,445
311,647,438
383,561,456
64,852,547
228,604,439
306,557,441
541,528,517
99,640,427
315,622,418
483,525,502
461,593,498
373,471,433
300,521,438
516,554,515
240,557,411
333,595,424
494,511,506
231,654,422
211,556,406
321,482,409
518,607,548
291,649,479
243,511,364
410,599,472
346,467,419
339,552,418
435,577,517
439,571,440
293,459,388
477,567,546
309,550,427
544,545,440
216,626,415
344,587,469
459,515,459
374,657,454
320,493,418
355,482,428
466,638,544
308,649,475
296,564,351
404,546,427
507,580,536
235,470,403
113,590,383
282,524,394
389,533,441
446,543,508
