#######################,###### LOG FILE #######,#######################
2009-01-22 18:08:44
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 68
Sexo:, Masculino
Actividade:, Cair para a frente
#######################,#######################,#######################

X,Y,Z
103,573,514
559,613,584
445,427,525
755,874,527
601,691,560
577,586,551
514,561,520
583,616,512
544,656,507
537,676,491
509,709,473
514,650,526
520,663,512
694,626,641
544,657,534
515,673,532
480,676,501
541,695,533
526,657,531
510,647,512
525,666,508
506,664,520
520,673,521
516,672,519
518,672,521
519,675,514
516,671,521
517,672,519
516,673,520
519,673,520
518,672,518
516,677,519
516,674,520
522,671,516
519,673,518
515,672,517
518,673,517
519,672,519
518,669,516
517,671,519
515,672,515
515,675,517
518,672,518
517,671,516
519,675,518
518,674,518
518,673,519
518,673,517
526,662,513
