#######################,###### LOG FILE #######,#######################
2009-01-22 18:13:51
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 56
Sexo:, Masculino
Actividade:, Caminhar
#######################,#######################,#######################

X,Y,Z
92,516,462
360,561,468
361,560,478
317,549,477
347,544,495
359,585,513
340,565,521
333,486,495
344,503,484
346,521,475
315,493,451
281,483,422
343,591,489
347,552,477
357,523,472
376,541,479
364,549,481
239,657,497
373,522,475
368,558,481
343,523,472
347,546,477
318,511,468
312,515,487
321,584,519
347,537,489
371,538,474
296,479,453
344,569,466
351,512,472
353,503,472
290,535,451
373,523,479
367,519,470
341,557,464
403,568,488
354,503,455
358,507,477
317,629,507
324,445,415
362,640,503
321,528,470
367,542,483
343,523,474
305,443,437
359,573,464
313,583,464
359,558,485
335,505,464
344,508,469
346,529,463
334,528,473
350,627,517
332,502,480
343,537,496
356,537,491
372,512,496
322,497,497
285,645,512
295,550,491
353,556,483
359,564,484
343,535,485
348,549,483
319,583,505
337,585,518
351,505,485
362,552,483
372,541,488
338,532,477
327,385,442
463,533,494
358,577,497
357,531,484
348,523,475
359,541,484
304,586,486
303,560,519
382,525,497
372,545,481
373,528,484
298,584,464
213,512,404
400,509,464
392,555,479
356,522,475
350,533,479
354,509,489
321,578,457
282,571,461
380,548,496
358,523,485
400,537,465
137,510,408
263,660,484
345,547,483
347,541,479
343,548,486
343,544,477
355,546,475
344,527,473
353,508,449
344,539,470
344,533,472
341,518,467
335,520,447
361,577,476
353,562,477
