#######################,###### LOG FILE #######,#######################
2009-01-22 18:15:21
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 56
Sexo:, Masculino
Actividade:, Levantar depois de Deitar
#######################,#######################,#######################

X,Y,Z
79,394,468
476,385,475
473,384,466
467,386,462
441,391,445
420,393,434
383,423,429
380,422,427
305,489,452
330,518,436
355,606,479
360,598,450
362,611,460
387,609,474
386,607,484
386,595,473
369,594,467
400,572,474
369,574,467
368,566,465
364,565,472
355,550,461
348,541,462
338,535,457
350,549,472
341,549,473
345,549,478
348,547,479
348,540,478
347,543,477
341,539,475
348,546,478
339,532,476
340,533,474
349,542,472
340,528,470
341,535,472
345,536,476
342,532,472
344,539,471
345,538,475
343,542,471
341,541,473
344,543,475
346,543,475
346,546,477
347,542,476
351,544,475
352,547,480
341,571,480
358,565,485
