#######################,###### LOG FILE #######,#######################
2009-01-22 18:16:10
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 56
Sexo:, Masculino
Actividade:, Cair para a esquerda
#######################,#######################,#######################

X,Y,Z
485,377,556
463,382,578
482,388,560
485,381,561
469,389,561
483,368,572
484,381,567
483,389,568
489,385,564
489,381,564
485,381,574
481,380,571
486,386,565
487,378,567
468,381,569
