#######################,###### LOG FILE #######,#######################
2009-01-23 17:35:17
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 58
Sexo:, Feminino
Actividade:, Cair para a frente
#######################,#######################,#######################

X,Y,Z
86,467,548
464,135,1019
553,306,742
580,287,711
536,394,625
517,422,612
484,464,575
480,438,585
463,405,614
472,365,652
482,420,634
499,402,626
510,430,615
471,454,505
487,361,583
501,382,583
535,419,565
393,406,542
500,402,610
506,391,585
512,417,589
