#######################,###### LOG FILE #######,#######################
2009-01-23 17:44:59
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 47
Sexo:, Feminino
Actividade:, Cair para a direita
#######################,#######################,#######################

X,Y,Z
91,535,463
498,457,132
542,512,225
545,525,408
536,504,425
512,501,410
481,423,351
498,487,327
564,447,362
467,453,365
490,464,373
505,436,368
513,459,358
509,463,367
498,480,355
