#######################,###### LOG FILE #######,#######################
2009-01-23 17:51:03
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 59
Sexo:, Masculino
Actividade:, Cair para tras
#######################,#######################,#######################

X,Y,Z
85,523,515
355,558,511
349,561,509
355,551,514
352,552,518
367,543,515
367,553,519
376,530,496
428,466,489
480,530,504
522,418,485
707,376,458
516,304,530
444,423,498
447,447,476
402,468,514
412,421,481
419,326,481
451,348,505
440,366,506
421,400,487
426,414,489
430,405,506
428,382,509
420,371,508
434,391,505
411,396,496
415,381,499
411,381,498
425,384,491
417,387,482
431,385,492
431,384,496
441,375,504
442,370,497
441,385,492
424,367,503
