#######################,###### LOG FILE #######,#######################
2009-01-23 17:51:34
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 59
Sexo:, Masculino
Actividade:, Cair para a direita
#######################,#######################,#######################

X,Y,Z
88,522,507
332,582,505
359,579,510
373,564,507
425,569,477
481,527,563
979,539,275
542,512,375
509,573,474
516,480,429
533,510,400
496,484,361
522,485,328
504,455,336
465,442,380
456,504,418
446,484,380
430,474,369
459,446,366
524,459,387
491,465,348
490,472,368
470,463,339
489,415,359
465,495,377
479,455,372
465,473,358
467,461,372
467,453,367
454,466,354
459,462,357
475,475,362
472,463,362
460,472,369
471,470,361
464,468,367
466,469,361
